assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,Autofocus,xsoar,Palo Alto Networks,APIKey(apiKey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apiKey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AutoFocus Daily Feed,xsoar,Palo Alto Networks,APIKey(api_key) — OPTIONAL(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""}],""config"":""OPTIONAL(APIKey)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AutoFocus Feed,xsoar,Palo Alto Networks,"APIKey(api_key) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AutoFocus V2,xsoar,Palo Alto Networks,"APIKey(api_key) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AutoFocusTagsFeed,xsoar,Palo Alto Networks,Plain(api_key) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""OPTIONAL(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Automox,partner,Automox Inc,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Awake Security,xsoar,Arista Networks,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AWS - AccessAnalyzer,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - ACM,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - Athena - Beta,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - CloudTrail,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - CloudWatchLogs,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - EC2,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - GuardDuty,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - GuardDuty Event Collector,xsoar,Amazon,"Plain(credentials, roleArn) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""OPTIONAL(Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - IAM,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - IAM Identity Center,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn, roleArnCredentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""},{""type"":""Plain"",""name"":""roleArnCredentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""roleArnCredentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - Lambda,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - Organizations,xsoar,Amazon,"Plain(credentials, role_arn) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""role_arn""}],""config"":""OPTIONAL(Plain)"",""params"":{""role_arn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - Route53,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - S3,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - Security Hub,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - SNS,xsoar,Amazon,"Plain(credentials, roleArn) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""REQUIRED(Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AWS - SQS,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS - System Manager,xsoar,Amazon,"Plain(credentials, roleArn) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""OPTIONAL(Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS Feed,xsoar,Amazon,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,AWS Network Firewall,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS Sagemaker,xsoar,Amazon,"APIKey(AWSAccessKey, AWSSecretKey) | Plain(AWSRegion, credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""AWSAccessKey""},{""type"":""APIKey"",""name"":""AWSSecretKey""},{""type"":""Plain"",""name"":""AWSRegion""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""AWSAccessKey"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""AWSSecretKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""AWSRegion"":{""type"":""Plain"",""xsoar_type"":0,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS Security Hub Event Collector,xsoar,Amazon,"Plain(credentials, role_arn) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""role_arn""}],""config"":""OPTIONAL(Plain)"",""params"":{""role_arn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS Security Lake,xsoar,Amazon,"Plain(credentials, roleArn) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""OPTIONAL(Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS-EKS,xsoar,Amazon,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AWS-ILM,xsoar,Amazon,"Plain(authentication_token, credentials, tenant_id) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""authentication_token""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""tenant_id""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""tenant_id"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""authentication_token"":{""type"":""Plain"",""xsoar_type"":4,""required"":false}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,AWS-SNS-Listener,xsoar,Amazon,"Plain(certificate, credentials, key) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""certificate""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""key""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate"":{""type"":""Plain"",""xsoar_type"":12,""required"":false},""key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AWS-WAF,xsoar,Amazon,"Plain(access_key, roleArn, secret_key) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""access_key""},{""type"":""Plain"",""name"":""roleArn""},{""type"":""Plain"",""name"":""secret_key""}],""config"":""OPTIONAL(Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""access_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""secret_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AwsSecretsManager,xsoar,Amazon,"Plain(credentials, roleArn) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""OPTIONAL(Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Axonius,partner,Axonius,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
